x,y,on_top,density
   0.00000,    0.00000,   1.88618E+05,   6.17391E+02
   0.00000,    0.05000,   2.63425E+04,   2.29587E+02
   0.00000,    0.10000,   3.75183E+03,   8.66338E+01
   0.00000,    0.15000,   5.75429E+02,   3.39305E+01
   0.00000,    0.20000,   1.04072E+02,   1.44577E+01
   0.00000,    0.25000,   2.59127E+01,   7.26726E+00
   0.00000,    0.30000,   1.00396E+01,   4.57434E+00
   0.00000,    0.35000,   5.77096E+00,   3.49025E+00
   0.00000,    0.40000,   4.14124E+00,   2.95530E+00
   0.00000,    0.45000,   3.21532E+00,   2.59479E+00
   0.00000,    0.50000,   2.52030E+00,   2.28787E+00
   0.00000,    0.55000,   1.94682E+00,   2.00321E+00
   0.00000,    0.60000,   1.47415E+00,   1.73750E+00
   0.00000,    0.65000,   1.09557E+00,   1.49379E+00
   0.00000,    0.70000,   8.01616E-01,   1.27494E+00
   0.00000,    0.75000,   5.79407E-01,   1.08205E+00
   0.00000,    0.80000,   4.14950E-01,   9.14572E-01
   0.00000,    0.85000,   2.95162E-01,   7.70775E-01
   0.00000,    0.90000,   2.08920E-01,   6.48305E-01
   0.00000,    0.95000,   1.47354E-01,   5.44592E-01
   0.00000,    1.00000,   1.03675E-01,   4.57122E-01
   0.00000,    1.05000,   7.28284E-02,   3.83569E-01
   0.00000,    1.10000,   5.11173E-02,   3.21854E-01
   0.00000,    1.15000,   3.58727E-02,   2.70151E-01
   0.00000,    1.20000,   2.51844E-02,   2.26878E-01
   0.00000,    1.25000,   1.76957E-02,   1.90678E-01
   0.00000,    1.30000,   1.24485E-02,   1.60394E-01
   0.00000,    1.35000,   8.76979E-03,   1.35049E-01
   0.00000,    1.40000,   6.18793E-03,   1.13824E-01
   0.00000,    1.45000,   4.37350E-03,   9.60338E-02
   0.00000,    1.50000,   3.09647E-03,   8.11082E-02
   0.00000,    1.55000,   2.19625E-03,   6.85739E-02
   0.00000,    1.60000,   1.56062E-03,   5.80378E-02
   0.00000,    1.65000,   1.11108E-03,   4.91729E-02
   0.00000,    1.70000,   7.92605E-04,   4.17072E-02
   0.00000,    1.75000,   5.66586E-04,   3.54140E-02
   0.00000,    1.80000,   4.05886E-04,   3.01039E-02
   0.00000,    1.85000,   2.91406E-04,   2.56188E-02
   0.00000,    1.90000,   2.09683E-04,   2.18264E-02
   0.00000,    1.95000,   1.51219E-04,   1.86159E-02
   0.00000,    2.00000,   1.09300E-04,   1.58948E-02
   0.05000,    0.00000,   2.63425E+04,   2.29587E+02
   0.05000,    0.05000,   1.16826E+04,   1.52887E+02
   0.05000,    0.10000,   2.38874E+03,   6.91252E+01
   0.05000,    0.15000,   4.29665E+02,   2.93225E+01
   0.05000,    0.20000,   8.59080E+01,   1.31423E+01
   0.05000,    0.25000,   2.31154E+01,   6.87044E+00
   0.05000,    0.30000,   9.46906E+00,   4.44544E+00
   0.05000,    0.35000,   5.60876E+00,   3.44091E+00
   0.05000,    0.40000,   4.07227E+00,   2.92978E+00
   0.05000,    0.45000,   3.17306E+00,   2.57691E+00
   0.05000,    0.50000,   2.48938E+00,   2.27323E+00
   0.05000,    0.55000,   1.92336E+00,   1.99074E+00
   0.05000,    0.60000,   1.45664E+00,   1.72690E+00
   0.05000,    0.65000,   1.08281E+00,   1.48491E+00
   0.05000,    0.70000,   7.92548E-01,   1.26761E+00
   0.05000,    0.75000,   5.73081E-01,   1.07607E+00
   0.05000,    0.80000,   4.10599E-01,   9.09736E-01
   0.05000,    0.85000,   2.92197E-01,   7.66884E-01
   0.05000,    0.90000,   2.06914E-01,   6.45185E-01
   0.05000,    0.95000,   1.46002E-01,   5.42095E-01
   0.05000,    1.00000,   1.02766E-01,   4.55124E-01
   0.05000,    1.05000,   7.22182E-02,   3.81971E-01
   0.05000,    1.10000,   5.07079E-02,   3.20575E-01
   0.05000,    1.15000,   3.55980E-02,   2.69126E-01
   0.05000,    1.20000,   2.49999E-02,   2.26056E-01
   0.05000,    1.25000,   1.75716E-02,   1.90018E-01
   0.05000,    1.30000,   1.23650E-02,   1.59863E-01
   0.05000,    1.35000,   8.71336E-03,   1.34621E-01
   0.05000,    1.40000,   6.14972E-03,   1.13478E-01
   0.05000,    1.45000,   4.34756E-03,   9.57537E-02
   0.05000,    1.50000,   3.07881E-03,   8.08810E-02
   0.05000,    1.55000,   2.18419E-03,   6.83892E-02
   0.05000,    1.60000,   1.55237E-03,   5.78872E-02
   0.05000,    1.65000,   1.10542E-03,   4.90500E-02
   0.05000,    1.70000,   7.88709E-04,   4.16067E-02
   0.05000,    1.75000,   5.63898E-04,   3.53316E-02
   0.05000,    1.80000,   4.04027E-04,   3.00363E-02
   0.05000,    1.85000,   2.90116E-04,   2.55632E-02
   0.05000,    1.90000,   2.08786E-04,   2.17806E-02
   0.05000,    1.95000,   1.50593E-04,   1.85781E-02
   0.05000,    2.00000,   1.08862E-04,   1.58636E-02
   0.10000,    0.00000,   3.75184E+03,   8.66338E+01
   0.10000,    0.05000,   2.38874E+03,   6.91252E+01
   0.10000,    0.10000,   7.87238E+02,   3.96837E+01
   0.10000,    0.15000,   1.98570E+02,   1.99454E+01
   0.10000,    0.20000,   5.13648E+01,   1.01818E+01
   0.10000,    0.25000,   1.70490E+01,   5.91783E+00
   0.10000,    0.30000,   8.10214E+00,   4.11911E+00
   0.10000,    0.35000,   5.18683E+00,   3.30863E+00
   0.10000,    0.40000,   3.88027E+00,   2.85751E+00
   0.10000,    0.45000,   3.05102E+00,   2.52468E+00
   0.10000,    0.50000,   2.39908E+00,   2.23003E+00
   0.10000,    0.55000,   1.85474E+00,   1.95383E+00
   0.10000,    0.60000,   1.40538E+00,   1.69555E+00
   0.10000,    0.65000,   1.04550E+00,   1.45866E+00
   0.10000,    0.70000,   7.66014E-01,   1.24594E+00
   0.10000,    0.75000,   5.54562E-01,   1.05839E+00
   0.10000,    0.80000,   3.97850E-01,   8.95420E-01
   0.10000,    0.85000,   2.83505E-01,   7.55362E-01
   0.10000,    0.90000,   2.01025E-01,   6.35940E-01
   0.10000,    0.95000,   1.42029E-01,   5.34689E-01
   0.10000,    1.00000,   1.00093E-01,   4.49197E-01
   0.10000,    1.05000,   7.04218E-02,   3.77227E-01
   0.10000,    1.10000,   4.95018E-02,   3.16776E-01
   0.10000,    1.15000,   3.47881E-02,   2.66082E-01
   0.10000,    1.20000,   2.44556E-02,   2.23614E-01
   0.10000,    1.25000,   1.72054E-02,   1.88056E-01
   0.10000,    1.30000,   1.21180E-02,   1.58283E-01
   0.10000,    1.35000,   8.54647E-03,   1.33347E-01
   0.10000,    1.40000,   6.03666E-03,   1.12449E-01
   0.10000,    1.45000,   4.27075E-03,   9.49197E-02
   0.10000,    1.50000,   3.02650E-03,   8.02039E-02
   0.10000,    1.55000,   2.14847E-03,   6.78385E-02
   0.10000,    1.60000,   1.52791E-03,   5.74384E-02
   0.10000,    1.65000,   1.08862E-03,   4.86835E-02
   0.10000,    1.70000,   7.77148E-04,   4.13069E-02
   0.10000,    1.75000,   5.55918E-04,   3.50860E-02
