omega,n,alpha,beta,Energy
1000,2,498.6316354767,2.2574935848,3025.19895761755
1000,3,498.8725260068,2.0172144406,3025.19864138044
1000,4,499.0189461069,1.8650033859,3025.19859385565
1000,5,499.1246919162,1.7554858735,3025.19858267611
1000,6,499.2074075193,1.671138183,3025.19857920483
1000,7,499.2744350373,1.6043311133,3025.19857789896
1000,8,499.3298253953,1.5504921567,3025.19857733582
100,2,49.5714273752,2.2445724826,307.94662626759
100,3,49.6469823356,2.0094145413,307.946315434709
100,4,49.6926018004,1.859363896,307.946268948186
100,5,49.7257155263,1.7507921522,307.946257963933
100,6,49.7515763263,1.6671694165,307.946254549173
100,7,49.7725346936,1.6009440428,307.946253262154
100,8,49.7898382594,1.5476062981,307.94625270687
10,2,4.8685167327,2.2033786741,32.4913745556919
10,3,4.891789461,1.9850961653,32.4910800368139
10,4,4.9055380439,1.8419181976,32.4910366794197
10,5,4.9156945526,1.7362768231,32.4910262792643
10,6,4.9235890979,1.6548628207,32.4910230346347
10,7,4.9299888347,1.5904279559,32.4910218046834
10,8,4.9352559121,1.5386421651,32.4910212733085
5,2,2.4086580982,2.1796158594,16.7526401858472
5,3,2.4249007355,1.9706253338,16.7523549824888
5,4,2.4343392783,1.8315522218,16.7523134087919
5,5,2.4413683371,1.7280515375,16.7523033386356
5,6,2.4468582028,1.647528398,16.7523001909254
5,7,2.4512869861,1.5842041335,16.752298993722
5,8,2.4549117978,1.5335677081,16.7522984761506
2,2,0.944205952,2.1323165409,7.09742701300771
2,3,0.9542197285,1.9423493662,7.09715904847175
2,4,0.9598385648,1.8114433704,7.09712077196996
2,5,0.9641345562,1.7111535231,7.09711130637272
2,6,0.9674611269,1.6333159665,7.09710833802136
2,7,0.9701450377,1.5721840544,7.09710720192633
2,8,0.9723369422,1.5233254296,7.09710671027643
1,2,0.4620234986,2.0803749929,3.76751310059253
1,3,0.4689187372,1.9117463926,3.76726263192959
1,4,0.4726280392,1.7895745516,3.76722770258757
1,5,0.4755549647,1.6927225896,3.76721884417461
1,6,0.4777969668,1.6178578078,3.76721605860209
1,7,0.4796058121,1.5591730556,3.7672149855907
1,8,0.4810806435,1.5122447,3.76721452092321
0.5,2,0.2245072125,2.0095271975,2.03460685060934
0.5,3,0.2292321747,1.8699149999,2.03437778224693
0.5,4,0.2315992579,1.7599983552,2.03434696842884
0.5,5,0.2335751451,1.6672688151,2.03433884975399
0.5,6,0.2350493347,1.5969573983,2.03433629113255
0.5,7,0.2362446704,1.5416814612,2.03433529785762
0.5,8,0.2372154041,1.4975044397,2.03433486760773
0.4,2,0.1776576387,1.9818615811,1.6753512147109
0.4,3,0.181836686,1.8536672885,1.67512971399758
0.4,4,0.1838634894,1.7486870146,1.67510036994866
0.4,5,0.1855962409,1.65771062,1.67509251450547
0.4,6,0.1868796686,1.5890066718,1.67509003792304
0.4,7,0.1879204843,1.5350540273,1.67508907393667
0.4,8,0.1887652035,1.4918948788,1.67508865641707
0.3,2,0.1312075394,1.942248116,1.3081841439674
0.3,3,0.1347739688,1.8303569801,1.30797268899512
0.3,4,0.1364181106,1.7324576452,1.30794531915464
0.3,5,0.1378773217,1.6439306873,1.30793781752291
0.3,6,0.1389453735,1.5775924744,1.30793545236441
0.3,7,0.1398118315,1.5255743152,1.30793452862313
0.3,8,0.1405142498,1.4839090477,1.30793412864377
0.2,2,0.0853659457,1.8782780873,0.928700846602035
0.2,3,0.088217901,1.7926757878,0.928503603814574
0.2,4,0.0894135284,1.7064890529,0.928479110592832
0.2,5,0.0905517699,1.6218569594,0.92847212799445
0.2,6,0.091367755,1.5594017267,0.928469928751833
0.2,7,0.0920243013,1.5110267198,0.928469066099671
0.2,8,0.0925644755,1.4714348623,0.928468692863359
0.15,2,0.0628046066,1.8267516162,0.731469854560195
0.15,3,0.0652397212,1.7621854741,0.731282199157132
0.15,4,0.0661723561,1.6857503024,0.731259758930298
0.15,5,0.0671216083,1.6042330729,0.73125315310946
0.15,6,0.067790138,1.5449602515,0.731251076028888
0.15,7,0.0683333876,1.4986309465,0.731250259388663
0.15,8,0.068783873,1.4602605662,0.731249906408625
0.1,2,0.0406379616,1.745102658,0.525678728240391
0.1,3,0.0425928064,1.7131548669,0.525502717012331
0.1,4,0.0432199531,1.6529757566,0.525483090062974
0.1,5,0.0439357476,1.578097211,0.525477019610938
0.1,6,0.0444462288,1.5222892432,0.525475117645063
0.1,7,0.0448512964,1.4800415932,0.525474368856015
0.1,8,0.0451794569,1.4456868295,0.525474045682873
0.08,2,0.031937363,1.6957257698,0.439599442516786
0.08,3,0.0336724883,1.6831114279,0.439428282607954
0.08,4,0.0341602541,1.6333124804,0.439410126084967
0.08,5,0.0347846769,1.5599850115,0.439404350902423
0.08,6,0.0352052483,1.5090230274,0.439402545742643
0.08,7,0.035547605,1.4691950363,0.439401835476993
0.08,8,0.0358178443,1.4375995516,0.439401529290817
0.06,2,0.0233790729,1.6274673089,0.350142348369415
0.06,3,0.0248752407,1.6400332393,0.349975034504243
0.06,4,0.0252072438,1.6057555704,0.349958664738126
0.06,5,0.0257149084,1.5371167242,0.349953272869506
0.06,6,0.0260501638,1.4906392129,0.349951591821862
0.06,7,0.0263229231,1.4542489012,0.34995093217194
0.05,2,0.0191700415,1.5820384657,0.303640454068125
0.05,3,0.0205396927,1.6098360133,0.303473792026394
0.05,4,0.0207848697,1.5869604485,0.30345848781312
0.05,5,0.0212266715,1.521769679,0.303453342663767
0.05,6,0.0215149009,1.4784914779,0.303451739815842
0.05,7,0.0217511391,1.4441474584,0.303451112735335
0.05,8,0.0219476133,1.4148763039,0.303450842323875
0.04,2,0.015027383,1.5231881453,0.255484567025875
0.04,3,0.016263288,1.5690115859,0.25531639885606
0.04,4,0.0164116568,1.5623661024,0.255302335479105
0.04,5,0.0167803395,1.5020338012,0.255297500123841
0.04,6,0.01701938,1.4627207422,0.255295992657931
0.04,7,0.0172127695,1.4317566048,0.255295405930927
0.04,8,0.0173778273,1.4042954399,0.255295153270404
0.0365373,2,0.0136105713,1.4987383786,0.238319356003194
0.0365373,3,0.0148020007,1.5506272047,0.238149760048966
0.0365373,4,0.0149120716,1.5517186247,0.238136184290997
0.0365373,5,0.0152527324,1.4937201455,0.238131478179384
