"R","n","omega","onTop","density"
0.01,2,0.5,0.010649169551283541,0.08931616280298246
0.01,3,0.1,0.00001333638359776031,0.005353705162103156
0.01,4,0.03653726559926414,8.332298152976933e-8,0.0007757406241274557
0.01,5,0.017346203222173808,1.0058498761566995e-9,0.00016517197362319
0.01,6,0.009578428015559567,1.7585001945812986e-11,0.00004397711249556621
0.01,7,0.005841703755277117,3.910696480593575e-13,0.000013571100963582241
0.01,8,0.0038233443006634154,1.0306057318723299e-14,4.652056515385231e-6
0.01,9,0.002638092180116395,3.082110800746635e-16,1.7253523701016004e-6
0.01,10,0.0018965588221806899,1.0165760394225544e-17,6.803251095924143e-7
0.02,2,0.5,0.01064597527958287,0.08930689776403829
0.02,3,0.1,0.000013335583438749457,0.005353651156631219
0.02,4,0.03653726559926414,8.332115491344726e-8,0.0007757409769802304
0.02,5,0.017346203222173808,1.0058394076053586e-9,0.0001651723416547405
0.02,6,0.009578428015559567,1.7584900884098213e-11,0.00004397721592729233
0.02,7,0.005841703755277117,3.9106827735394073e-13,0.000013571129753238799
0.02,8,0.0038233443006634154,1.030603367658711e-14,4.652065071029213e-6
0.02,9,0.002638092180116395,3.0821059222150555e-16,1.7253550968153247e-6
0.02,10,0.0018965588221806899,1.016574882625459e-17,6.803260349932922e-7
0.03,2,0.5,0.010640653622468224,0.08929145760161956
0.03,3,0.1,0.000013334249947081276,0.005353561144734266
0.03,4,0.03653726559926414,8.331811064189517e-8,0.0007757415649135059
0.03,5,0.017346203222173808,1.0058219602619085e-9,0.00016517295503001416
0.03,6,0.009578428015559567,1.7584732449197605e-11,0.000043977388312520454
0.03,7,0.005841703755277117,3.9106599285558903e-13,0.000013571177735890404
0.03,8,0.0038233443006634154,1.0305994273147316e-14,4.652079330422809e-6
0.03,9,0.002638092180116395,3.0820977913462484e-16,1.7253596413368746e-6
0.03,10,0.0018965588221806899,1.0165729546332252e-17,6.803275773281091e-7
0.04,2,0.5,0.01063320777128445,0.08926984466953855
0.04,3,0.1,0.000013332383282758236,0.005353435122247591
0.04,4,0.03653726559926414,8.331384884858323e-8,0.0007757423876952684
0.04,5,0.017346203222173808,1.0057975344895167e-9,0.00016517381373304537
0.04,6,0.009578428015559567,1.7584496643047154e-11,0.000043977629649777524
0.04,7,0.005841703755277117,3.9106279458031677e-13,0.000013571244911373055
0.04,8,0.0038233443006634154,1.0305939108584703e-14,4.652099293546457e-6
0.04,9,0.002638092180116395,3.082086408165955e-16,1.7253660036642636e-6
0.04,10,0.0018965588221806899,1.0165702554502409e-17,6.803297365968961e-7
0.05,2,0.5,0.010623642189447797,0.08924206226329173
0.05,3,0.1,0.00001332998366973899,0.005353273083342376
0.05,4,0.03653726559926414,8.330836972035608e-8,0.0007757434450007166
0.05,5,0.017346203222173808,1.0057661307966e-9,0.00016517491774148277
0.05,6,0.009578428015559567,1.758419346835719e-11,0.00004397793993700116
0.05,7,0.005841703755277117,3.910586825505438e-13,0.000013571331279457174
0.05,8,0.0038233443006634154,1.030586818315236e-14,4.652124960372775e-6
0.05,9,0.002638092180116395,3.0820717727102104e-16,1.7253741837947107e-6
0.05,10,0.0018965588221806899,1.016566785082649e-17,6.803325127996969e-7
0.060000000000000005,2,0.5,0.010611962607986898,0.08920811462021677
0.060000000000000005,3,0.1,0.000013327051395893597,0.0053530750205274605
0.060000000000000005,4,0.03653726559926414,8.330167349741908e-8,0.0007757447364122791
0.060000000000000005,5,0.017346203222173808,1.0057277498368077e-9,0.00016517626702658948
0.060000000000000005,6,0.009578428015559567,1.7583822928612344e-11,0.00004397831917153984
0.060000000000000005,7,0.005841703755277117,3.910536567950951e-13,0.000013571436839847576
0.060000000000000005,8,0.0038233443006634154,1.0305781497175696e-14,4.652156330866553e-6
0.060000000000000005,9,0.002638092180116395,3.082053885025346e-16,1.7253841817246402e-6
0.060000000000000005,10,0.0018965588221806899,1.0165625435383477e-17,6.803359059365667e-7
0.06999999999999999,2,0.5,0.010598176019820434,0.08916800691969212
0.06999999999999999,3,0.1,0.000013323586812945965,0.005352840924651615
0.06999999999999999,4,0.03653726559926414,8.329376047332083e-8,0.0007757462614196388
0.06999999999999999,5,0.017346203222173808,1.0056823924089976e-9,0.00016517786155324356
0.06999999999999999,6,0.009578428015559567,1.758338502807147e-11,0.00004397876735015285
0.06999999999999999,7,0.005841703755277117,3.910477173492005e-13,0.000013571561592183475
0.06999999999999999,8,0.0038233443006634154,1.0305679051052417e-14,4.6521934049847574e-6
0.06999999999999999,9,0.002638092180116395,3.0820327451679884e-16,1.7253959974496815e-6
0.06999999999999999,10,0.0018965588221806899,1.01655753082699e-17,6.803399160075745e-7
0.08,2,0.5,0.010582290672779488,0.08912174528337659
0.08,3,0.1,0.000013319590336403538,0.005352570784906309
0.08,4,0.03653726559926414,8.328463099493172e-8,0.0007757480194197601
0.08,5,0.017346203222173808,1.0056300594572095e-9,0.00016517970127993904
0.08,6,0.009578428015559567,1.7582879771767564e-11,0.000043979284469010244
0.08,7,0.005841703755277117,3.910408642544945e-13,0.000013571705536038493
0.08,8,0.0038233443006634154,1.0305560845252537e-14,4.652236182676529e-6
0.08,9,0.002638092180116395,3.082008353205059e-16,1.7254096309646698e-6
0.08,10,0.0018965588221806899,1.0165517469599842e-17,6.803445430128002e-7
0.09,2,0.5,0.010564316061384334,0.08906933677548656
0.09,3,0.1,0.000013315062445474236,0.005352264588829003
0.09,4,0.03653726559926414,8.327428546241852e-8,0.0007757500097169233
0.09,5,0.017346203222173808,1.005570752070631e-9,0.0001651817861587861
0.09,6,0.009578428015559567,1.7582307165507667e-11,0.000043979870523692926
0.09,7,0.005841703755277117,3.910330975590154e-13,0.000013571868670920664
0.09,8,0.0038233443006634154,1.030542688031837e-14,4.652284663883187e-6
0.09,9,0.002638092180116395,3.0819807092137747e-16,1.7254250822636453e-6
0.09,10,0.0018965588221806899,1.0165451919504934e-17,6.803497869523369e-7
0.09999999999999999,2,0.5,0.010544262917387156,0.08901078940310804
0.09999999999999999,3,0.1,0.000013310003682970705,0.005351922322306931
0.09999999999999999,4,0.03653726559926414,8.326272432921525e-8,0.0007757522315227623
0.09999999999999999,5,0.017346203222173808,1.0055044714835618e-9,0.00016518411613551225
0.09999999999999999,6,0.009578428015559567,1.7581667215872767e-11,0.00004398052550919268
0.09999999999999999,7,0.005841703755277117,3.9102441731720495e-13,0.000013572050996272412
0.09999999999999999,8,0.0038233443006634154,1.0305277156864528e-14,4.652338848538223e-6
0.09999999999999999,9,0.002638092180116395,3.0819498132816455e-16,1.7254423513398536e-6
0.09999999999999999,10,0.0018965588221806899,1.0165378658134353e-17,6.8035564782629e-7
0.11,2,0.5,0.010522143199093847,0.08894611211653997
0.11,3,0.1,0.000013304414655201847,0.005351543969581378
0.11,4,0.03653726559926414,8.324994810198997e-8,0.0007757546839563096
0.11,5,0.017346203222173808,1.0054312190753684e-9,0.00016518669114946318
0.11,6,0.009578428015559567,1.7580959930217655e-11,0.00004398124941991217
0.11,7,0.005841703755277117,3.910148235899076e-13,0.000013572252511470577
0.11,8,0.0038233443006634154,1.030511167557791e-14,4.652398736567305e-6
0.11,9,0.002638092180116395,3.0819156655064766e-16,1.7254614381857451e-6
0.11,10,0.0018965588221806899,1.0165297685654836e-17,6.803621256347768e-7
0.12,2,0.5,0.010497970079479802,0.08887531480966537
0.12,3,0.1,0.000013298296031851717,0.005351129513252476
0.12,4,0.03653726559926414,8.323595734060782e-8,0.000775757366044044
0.12,5,0.017346203222173808,1.0053509963704381e-9,0.0001651895111336038
0.12,6,0.009578428015559567,1.7580185316670787e-11,0.00004398204224966497
0.12,7,0.005841703755277117,3.9100431644437e-13,0.000013572473215826392
0.12,8,0.0038233443006634154,1.0304930437217703e-14,4.652464327888273e-6
0.12,9,0.002638092180116395,3.0818782659963645e-16,1.7254823427929763e-6
0.12,10,0.0018965588221806899,1.0165209002250653e-17,6.803692203779275e-7
0.13,2,0.5,0.010471757933116214,0.08879840832034566
0.13,3,0.1,0.000013291648545845783,0.005350678934284479
0.13,4,0.03653726559926414,8.32207526580901e-8,0.0007757602767199451
0.13,5,0.017346203222173808,1.005263805038126e-9,0.0001651925760145196
0.13,6,0.009578428015559567,1.7579343384134147e-11,0.000043982903991675624
0.13,7,0.005841703755277117,3.909928959542402e-13,0.000013572713108585511
0.13,8,0.0038233443006634154,1.0304733442615376e-14,4.652535622411146e-6
0.13,9,0.002638092180116395,3.081837614869701e-16,1.7255050651524072e-6
0.13,10,0.0018965588221806899,1.0165112608123635e-17,6.803769320558842e-7
0.14,2,0.5,0.01044352232192504,0.0887154044308338
0.14,3,0.1,0.000013284472993204604,0.005350192212011565
0.14,4,0.03653726559926414,8.320433472056954e-8,0.0007757634148255529
0.14,5,0.017346203222173808,1.0051696468926957e-9,0.0001651958857124176
0.14,6,0.009578428015559567,1.7578434142283043e-11,0.00004398383463857965
0.14,7,0.005841703755277117,3.909805621995662e-13,0.000013572972188927968
0.14,8,0.0038233443006634154,1.0304520692674667e-14,4.652612620038114e-6
0.14,9,0.002638092180116395,3.0817937122551674e-16,1.7255296052541035e-6
0.14,10,0.0018965588221806899,1.0165008503493149e-17,6.803852606688018e-7
0.15000000000000002,2,0.5,0.010413279979782404,0.08862631586820122
0.15000000000000002,3,0.1,0.000013276770232884973,0.0053496693241440975
0.15000000000000002,4,0.03653726559926414,8.318670424724161e-8,0.0007757667791100317
0.15000000000000002,5,0.017346203222173808,1.0050685238932583e-9,0.000165199440141128
0.15000000000000002,6,0.009578428015559567,1.757745760156596e-11,0.00004398483418242361
0.15000000000000002,7,0.005841703755277117,3.90967315266796e-13,0.000013573250455968235
0.15000000000000002,8,0.0038233443006634154,1.0304292188371587e-14,4.652695320663541e-6
0.15000000000000002,9,0.002638092180116395,3.0817465582917385e-16,1.7255559630873376e-6
0.15000000000000002,10,0.0018965588221806899,1.0164896688596117e-17,6.80394206216847e-7
0.16,2,0.5,0.010381048795991756,0.08853115630477307
0.16,3,0.1,0.000013268541186608533,0.0053491102467754246
0.16,4,0.03653726559926414,8.316786201031208e-8,0.0007757703682302395
0.16,5,0.017346203222173808,1.0049604381437028e-9,0.0001652032392081058
0.16,6,0.009578428015559567,1.757641377320433e-11,0.000043985902614665126
0.16,7,0.005841703755277117,3.909531552487759e-13,0.00001357354790875515
0.16,8,0.0038233443006634154,1.0304047930754403e-14,4.652783724173965e-6
0.16,9,0.002638092180116395,3.081696153128679e-16,1.725584138640583e-6
0.16,10,0.0018965588221806899,1.0164777163686999e-17,6.804037687001988e-7
0.17,2,0.5,0.010346847797649649,0.08842994035856602
0.17,3,0.1,0.000013259786838677972,0.005348514954389137
0.17,4,0.03653726559926414,8.314780883494058e-8,0.0007757741807508026
0.17,5,0.017346203222173808,1.0048453918926242e-9,0.00016520728281443198
0.17,6,0.009578428015559567,1.757530266919233e-11,0.00004398703992617297
0.17,7,0.005841703755277117,3.9093808224474936e-13,0.000013573864546271992
0.17,8,0.0038233443006634154,1.0303787920943633e-14,4.652877830448099e-6
0.17,9,0.002638092180116395,3.081642496925543e-16,1.7256141319015217e-6
0.17,10,0.0018965588221806899,1.0164649929037802e-17,6.804139481190489e-7
0.18000000000000002,2,0.5,0.010310697130928434,0.08832268359372229
0.18000000000000002,3,0.1,0.000013250508235780787,0.005347883419866842
0.18000000000000002,4,0.03653726559926414,8.312654559918042e-8,0.000775778215144196
0.18000000000000002,5,0.017346203222173808,1.004723387533245e-9,0.00016521157085481574
0.18000000000000002,6,0.009578428015559567,1.757412430229665e-11,0.000043988246107227045
0.18000000000000002,7,0.005841703755277117,3.909220963603565e-13,0.000013574200367436428
0.18000000000000002,8,0.0038233443006634154,1.0303512160132041e-14,4.652977639356826e-6
0.18000000000000002,9,0.002638092180116395,3.081585589852175e-16,1.725645942857038e-6
0.18000000000000002,10,0.0018965588221806899,1.0164514984938076e-17,6.804247444736006e-7
0.19,2,0.5,0.010272618041301694,0.08820940252093368
0.19,3,0.1,0.000013240706486780726,0.005347215614496418
0.19,4,0.03653726559926414,8.310407323391449e-8,0.0007757824697908272
0.19,5,0.017346203222173808,1.004594427603333e-9,0.00016521610321759597
0.19,6,0.009578428015559567,1.757287868605625e-11,0.00004398952114751852
0.19,7,0.005841703755277117,3.909051977076321e-13,0.000013574555371100534
0.19,8,0.0038233443006634154,1.0303220649584619e-14,4.6530831507632026e-6
0.19,9,0.002638092180116395,3.081525432088706e-16,1.7256795714932209e-6
0.19,10,0.0018965588221806899,1.0164372331694913e-17,6.804361577640699e-7
0.2,2,0.5,0.010232632852739527,0.08809011459784825
0.2,3,0.1,0.000013230382762496922,0.005346511507980767
0.2,4,0.03653726559926414,8.308039272278735e-8,0.0007757869429791261
0.2,5,0.017346203222173808,1.0044585147851115e-9,0.00016522087978474348
0.2,6,0.009578428015559567,1.75715658347821e-11,0.000043990865036149804
0.2,7,0.005841703755277117,3.9088738640500484e-13,0.000013574929556050791
0.2,8,0.0038233443006634154,1.0302913390638591e-14,4.653194364522459e-6
0.2,9,0.002638092180116395,3.081462023825555e-16,1.7257150177953654e-6
0.2,10,0.0018965588221806899,1.0164221969632943e-17,6.804481879906847e-7
